Kepler_ID,period,transit_depth,transit_duration,flux_std,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
1996180,57.19652468708303,0.0002011557492841,2.9000000000000004,0.0003245753145273,1996180,K02534.02,,CANDIDATE,CANDIDATE,0.922,0,0,0,0,5.42204257,133.46021,0.94,2.952,79.1,1.39,1222.0,527.11,10.7,2,q1_q17_dr25_tce,6123.0,4.263,1.263,286.3443,37.411968,13.925,1
1996679,145.62269777127608,0.0013193148797788,0.5,0.0002650020581449,1996679,K00147.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,145.5624926,146.0588,1.274,5.4126,2931.6,40.15,387.0,5.33,58.1,1,q1_q17_dr25_tce,6148.0,4.346,1.095,286.49072,37.489979,13.884,0
2010152,20.21937335470503,0.0004590208839419,10.0,0.0009825252225341,2010152,K08084.01,,FALSE POSITIVE,FALSE POSITIVE,0.058,1,0,0,0,317.74527,205.9582,0.787,17.54,206.6,2.1,336.0,3.03,13.6,1,q1_q17_dr25_tce,6050.0,4.08,1.333,290.37881,37.481419,13.385,0
2010191,694.1654325764699,0.0018032841550424,5.25,0.0010439000785854,2010191,K03999.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,3.43525124,132.6333,1.121,4.509,152.2,25.43,1579.0,1468.73,6.3,1,q1_q17_dr25_tce,5854.0,4.014,1.742,290.38721,37.47818,14.603,0
2010607,37.26453954851743,0.0008076397591204,0.5,0.0002140932291039,2010607,K04929.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,18.622214,141.6268,0.792,4.42,5832.0,20.83,1101.0,347.32,20.1,1,q1_q17_dr25_tce,6235.0,3.801,2.471,290.50565,37.459011,11.347,0
2012722,23.25794000749371,0.0004127906840577,0.5,0.0003075245906721,2012722,K06257.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,2.32539968,132.12985,1.004,16.791,288.1,9.76,2501.0,9234.82,79.9,2,q1_q17_dr25_tce,7046.0,3.831,2.724,291.01147,37.43364,11.661,0
2013883,443.72973865194217,0.0003247554180887,5.25,0.0001255774131011,2013883,K06258.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,0.764597756,131.69552,0.345,1.119,16.6,0.72,2708.0,12721.72,12.0,1,q1_q17_dr25_tce,6218.0,4.066,1.726,291.2832,37.419601,11.215,0
2014991,571.049398667326,0.0004410685027496,10.0,0.0003568523088036,2014991,K02178.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,6.49676881,132.17439,0.643,2.527,135.0,3.74,1761.0,2273.36,10.6,1,q1_q17_dr25_tce,6418.0,3.658,3.049,291.54935,37.40358,12.396,0
2019076,64.17295579870746,0.0488300923923483,0.5,0.0095123754778404,2019076,K03585.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.564614021,131.86235,0.989,3.44204,94342.0,46.0,1187.0,470.37,728.8,1,q1_q17_dr25_tce,5891.0,4.45,0.892,292.46249,37.442619,15.671,0
2019477,591.6848147345814,0.000561372521648,7.65,0.0002943125035552,2019477,K06093.01,,FALSE POSITIVE,FALSE POSITIVE,0.283,0,0,1,0,20.5736113,149.1939,0.032,11.222,76.0,3.86,1197.0,484.82,12.3,1,q1_q17_dr25_tce,5440.0,3.404,4.524,292.55194,37.421211,13.33,0
2019477,591.6848147345814,0.000561372521648,7.65,0.0002943125035552,2019477,K06093.02,,CANDIDATE,CANDIDATE,0.479,0,0,0,0,27.2497521,131.8837,0.194,11.609,102.0,4.49,1090.0,333.56,14.6,2,q1_q17_dr25_tce,5440.0,3.404,4.524,292.55194,37.421211,13.33,1
